Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,MTH Conc.1,MTH Conc.2,MTH Conc.3,MTH Conc.4,MTH BF1,MTH BF2,MTH BF3,MTH BF4,MTH TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm2 Conc.1,Ite.Nm3 Conc.1
7,1.184323,-939.553589,1586.8396,-133435.8125,1,1,1,1,-0.004701,0,0,0,0,0,0,0,0,0,1.727657E+7,9.610771,33.649395,36.249588,42.086823,0.207804,0.262074,69.991211,31.282227,100.669876,25.99929,30.531956,3064996,0.143798,0.08216,0,4621.233887,4621.233887
7.1,1.146164,-528.42572,1458.75293,-131522.265625,1,1,1,1,-0.004149,0,0,0,0,0,0,0,0,0,1.726384E+7,9.618376,33.654583,36.23893,42.08057,0.208473,0.262226,69.991211,31.282227,100.669876,25.996143,30.519941,3068058,0.143798,0.090623,0,2150.012695,2150.012695
7.2,1.320005,-772.4729,1467.707886,-141578.46875,1,1,1,1,-0.004202,0,0,0,0,0,0,0,0,0,1.7263E+7,9.609645,33.663227,36.256695,42.089325,0.208339,0.261158,69.991211,31.282227,100.669876,25.992901,30.519941,3063281,0.143798,0.105137,0,2668.150635,2668.150635
7.3,1.065337,-584.158752,1445.089966,-138832.625,1,0.999687,1,1,-0.003387,0,0,0,0,0,0,0,0,0,1.727807E+7,9.610771,33.658039,36.242481,42.071815,0.208607,0.261311,69.991211,31.282227,100.669876,26.002342,30.520357,3066281,0.143798,0.069627,0,5344.021973,5344.021973
7.4,1.176772,-890.602295,1461.028198,-144902.546875,1,0.999687,1,1,-0.002514,0,0,0,0,0,0,0,0,0,1.726902E+7,9.6088,33.670147,36.237152,42.054314,0.207938,0.261158,69.991211,31.282227,100.669876,26.002342,30.523611,3063799,0.143798,0.080301,0,3181.409668,3181.409668
7.5,1.1695,-979.036804,1500.947266,-131740.453125,1,0.999687,1,1,-0.001528,0,0,0,0,0,0,0,0,0,1.72698E+7,9.612743,33.654583,36.242481,42.066814,0.20767,0.2607,69.991211,31.282227,100.669876,25.999386,30.523611,3064629,0.143798,0.070502,0,1605.670898,1605.670898
7.6,1.275137,-1158.602661,1525.212769,-146310.15625,1,0.999687,1,1,-0.003037,0,0,0,0,0,0,0,0,0,1.728074E+7,9.612743,33.656311,36.242481,42.025566,0.206465,0.259327,70.019531,31.276367,100.669876,26.004726,30.525782,3065096,0.143798,0.104946,0,3244.980713,3244.980713
7.7,1.130676,-731.935974,1447.404785,-133565.75,1,0.999687,1,1,-0.00181,0,0,0,0,0,0,0,0,0,1.728113E+7,9.610209,33.652855,36.256695,42.081821,0.207268,0.261463,70.019531,31.276367,100.669876,26.004726,30.525782,3062735,0.143798,0.075199,0,2699.437744,2699.437744
7.8,1.131709,-1176.817017,1514.87085,-133291.25,1,0.999687,1,1,-0.001379,0,0,0,0,0,0,0,0,0,1.727451E+7,9.610771,33.645939,36.23893,42.13311,0.207402,0.260548,70.019531,31.276367,100.669876,25.998241,30.52478,3061885,0.143798,0.079673,0,2604.120117,2604.120117
7.9,1.204945,-874.916626,1483.274414,-146484.15625,1,0.999687,1,1,-0.001097,0,0,0,0,0,0,0,0,0,1.727317E+7,9.611053,33.664959,36.237152,42.103081,0.208741,0.262989,70.019531,31.276367,100.669876,25.9888,30.530704,3066310,0.143798,0.087624,0,4268.532715,4268.532715
8,1.001923,-761.069885,1452.255859,-147521.265625,1,0.999687,1,1,-0.000775,0,0,0,0,0,0,0,0,0,1.728547E+7,9.609926,33.652855,36.23893,42.075569,0.208607,0.261616,70.019531,31.276367,100.669876,25.992138,30.530704,3066656,0.143798,0.071879,0,4563.51709,4563.51709
8.1,1.103925,-902.254211,1445.563354,-146629.953125,1,0.999687,1,1,0.000854,0,0,0,0,0,0,0,0,0,1.727857E+7,9.609364,33.658039,36.242481,42.056812,0.207536,0.260853,70.019531,31.276367,100.669876,25.99519,30.524698,3066908,0.143798,0.073034,0,2487.657227,2487.657227
8.2,1.245896,-1219.793579,1497.105225,-139897.90625,1,0.999687,1,1,0.003566,0,0,0,0,0,0,0,0,0,1.726812E+7,9.619502,33.673603,36.242481,42.063065,0.209142,0.262074,70.019531,31.276367,100.669876,25.992138,30.516855,3068449,0.143798,0.097524,0,3929.688965,3929.688965
8.3,1.035113,-1000.230347,1494.08313,-143304.21875,1,1,1,1,0.004395,0,0,0,0,0,0,0,0,0,1.726381E+7,9.609645,33.668415,36.254921,42.148125,0.208741,0.261769,70.019531,31.276367,100.669876,26.002056,30.516855,3066932,0.143798,0.08031,0,2892.773437,2892.773437
8.4,1.310272,-1515.755859,1633.866089,-134764.21875,1,1,1,1,0.004506,0,0,0,0,0,0,0,0,0,1.727072E+7,9.609926,33.661499,36.233601,42.071815,0.207804,0.261463,70.019531,31.276367,100.669876,25.991947,30.522192,3067138,0.143798,0.093133,0,3638.940918,3638.940918
